Processing Log
Voxel128: 1.4002390644262116e-05

glass_box: glass_box_0058
Slice64: 0.005728738365603621
Slice128: 0.002508392789158955
Voxel64: 0.002202557644036308
Voxel128: 1.3786012517402792e-05

glass_box: glass_box_0067
Slice64: 0.0044426528569587054
Slice128: 0.002725003248796508
Voxel64: 0.00976648032516671
Voxel128: 0.0006331883929700036

glass_box: glass_box_0133
Slice64: 0.007276681833865548
Slice128: 0.002595523603963119
Voxel64: 0.0012573094251204858
Voxel128: 7.198909935200305e-06

glass_box: glass_box_0145
Slice64: 0.005285804640627795
Slice128: 0.0026036796626631095
Voxel64: 1.558919162206915e-05
Voxel128: 1.558919162206915e-05

glass_box: glass_box_0017
Slice64: 0.005341698019186557
Slice128: 0.0031104533021490684
Voxel64: 0.001739539999073549
Voxel128: 1.4156062568960947e-05

glass_box: glass_box_0168
Slice64: 0.007157321624104578
Slice128: 0.003869754852181058
Voxel64: 0.00651900283915756
Voxel128: 0.00357586580961957

glass_box: glass_box_0164
Slice64: 0.005164233855639923
Slice128: 0.002801403286904965
Voxel64: 0.0028134804341972404
Voxel128: 0.0017229494924376686

glass_box: glass_box_0123
Slice64: 0.007538102201853572
Slice128: 0.0034758042861555184
Voxel64: 3.4494910847553576e-05
Voxel128: 3.4494910847553576e-05

glass_box: glass_box_0042
Slice64: 0.006363271942631227
Slice128: 0.0026591222816291574
Voxel64: 0.001744955580419728
Voxel128: 1.4002861749552057e-05

glass_box: glass_box_0085
Slice64: 0.0057532833695156755
Slice128: 0.0028636803798477157
Voxel64: 0.0007773573133967893
Voxel128: 1.6163732338945618e-05

glass_box: glass_box_0013
Slice64: 0.004965515190799799
Slice128: 0.0025428984165308645
Voxel64: 1.2350661050621821e-05
Voxel128: 1.2350661050621821e-05

glass_box: glass_box_0160
Slice64: 0.0076734121118634735
Slice128: 0.002766956825196886
Voxel64: 9.22100074624288e-09
Voxel128: 9.22100074624288e-09

glass_box: glass_box_0010
Slice64: 0.0059198216560350445
Slice128: 0.002971791790093698
Voxel64: 0.0025226827779851863
Voxel128: 0.000911775097100206

glass_box: glass_box_0069
Slice64: 0.005649859651375451
Slice128: 0.0027280661374882347
Voxel64: 0.002915852693802061
Voxel128: 0.0027889679911476547

glass_box: glass_box_0077
Slice64: 0.005675763198391838
Slice128: 0.004780145405857864
Voxel64: 0.00616703579881969
Voxel128: 0.002286187434444367

glass_box: glass_box_0148
Slice64: 0.0057641084275873115
Slice128: 0.0027693487144251376
Voxel64: 1.0164304609660529e-07
Voxel128: 1.0164304609660529e-07

glass_box: glass_box_0149
Slice64: 0.005728738365603621
Slice128: 0.002508392789158955
Voxel64: 0.002202557644036308
Voxel128: 1.3786012517402792e-05

glass_box: glass_box_0103
Slice64: 0.007157321624104578
Slice128: 0.003869754852181058
Voxel64: 0.00651900283915756
Voxel128: 0.00357586580961957

glass_box: glass_box_0140
Slice64: 0.006758457714910936
Slice128: 0.0027948944806577888
Voxel64: 3.639581483578429e-05
Voxel128: 3.639581483578429e-05

glass_box: glass_box_0079
Slice64: 0.006236228440423442
Slice128: 0.005325208068306074
Voxel64: 0.005201567681230677
Voxel128: 0.0046437139640735405

glass_box: glass_box_0032
Slice64: 0.005775668908137252
Slice128: 0.003092321144677653
Voxel64: 0.0013478806592130011
Voxel128: 0.00011239128005500257

glass_box: glass_box_0170
Slice64: 0.0070492637047827565
Slice128: 0.005269173032159418
Voxel64: 0.0075248493040708155
Voxel128: 0.0033896561503420942

glass_box: glass_box_0095
Slice64: 0.008710804233757228
Slice128: 0.002530509078145656
Voxel64: 0.0022362126649302797
Voxel128: 0.0008530951769591858

glass_box: glass_box_0152
Slice64: 0.007050325100380769
Slice128: 0.0033755583846286226
Voxel64: 0.004460685440890903
Voxel128: 0.001013632299432115

glass_box: glass_box_0096
Slice64: 0.006645619995465479
Slice128: 0.0030029851572025345
Voxel64: 5.534163520446818e-05
Voxel128: 5.534163520446818e-05

glass_box: glass_box_0097
Slice64: 0.0077588230263809874
Slice128: 0.0026354060540348823
Voxel64: 3.987484842477994e-05
Voxel128: 3.987484842477994e-05

glass_box: glass_box_0171
Slice64: 0.004713746269828685
Slice128: 0.0023247700712572166
Voxel64: 6.279195740630264e-05
Voxel128: 6.279195740630264e-05

glass_box: glass_box_0061
Slice64: 0.005510770821587643
Slice128: 0.0022620781512873783
Voxel64: 1.4460739747279665e-05
Voxel128: 1.4460739747279665e-05

glass_box: glass_box_0169
Slice64: 0.007011528892251588
Slice128: 0.002861644582427823
Voxel64: 0.0003337448395303709
Voxel128: 1.0331582664117299e-05

glass_box: glass_box_0122
Slice64: 0.00766409307214589
Slice128: 0.0031289154123374527
Voxel64: 0.0012940725642714267
Voxel128: 4.17513923665958e-05

glass_box: glass_box_0020
Slice64: 0.006445373832743078
Slice128: 0.005267971719201247
Voxel64: 0.0021551490416865733
Voxel128: 0.00286336720659482

glass_box: glass_box_0016
Slice64: 0.00493316431853795
Slice128: 0.0027027638647733948
Voxel64: 1.5212615162276864e-05
Voxel128: 1.5212615162276864e-05

