Processing Log
Slice128: 0.0036604019788943004
Voxel64: 0.007381488837734863
Voxel128: 0.001535040213715322

glass_box: glass_box_0096
Slice64: 0.006985125412064695
Slice128: 0.003079831579264264
Voxel64: 5.936423155554036e-05
Voxel128: 5.936423155554036e-05

glass_box: glass_box_0097
Slice64: 0.00844310506633561
Slice128: 0.0026075298935149013
Voxel64: 4.3271988580688135e-05
Voxel128: 4.3271988580688135e-05

glass_box: glass_box_0171
Slice64: 0.004691048585344825
Slice128: 0.0023510047631811457
Voxel64: 6.611688990916116e-05
Voxel128: 6.611688990916116e-05

glass_box: glass_box_0061
Slice64: 0.005599657607893467
Slice128: 0.0021900667015674856
Voxel64: 1.565494415759177e-05
Voxel128: 1.565494415759177e-05

glass_box: glass_box_0169
Slice64: 0.00764728562674854
Slice128: 0.0029110355899194078
Voxel64: 0.0004992424295806386
Voxel128: 1.3128914256754627e-05

glass_box: glass_box_0122
Slice64: 0.008757346933188219
Slice128: 0.003219878237411425
Voxel64: 0.0020084803706265043
Voxel128: 4.490111810634704e-05

glass_box: glass_box_0020
Slice64: 0.007136975029756465
Slice128: 0.007186634399700657
Voxel64: 0.0036641519692282814
Voxel128: 0.004974628706327507

glass_box: glass_box_0016
Slice64: 0.004865512184022016
Slice128: 0.00269223882783939
Voxel64: 1.8385979525884494e-05
Voxel128: 1.8385979525884494e-05

glass_box: glass_box_0084
Slice64: 0.007602379069586715
Slice128: 0.0027859364115038346
Voxel64: 0.0033255948646060854
Voxel128: 0.0002672814790773622

glass_box: glass_box_0012
Slice64: 0.007941180582676113
Slice128: 0.0027127228962656406
Voxel64: 0.0012729592394236033
Voxel128: 1.080398802513054e-07

glass_box: glass_box_0011
Slice64: 0.006099553891392266
Slice128: 0.0035720700292722614
Voxel64: 0.0011230817396105297
Voxel128: 0.00038068745214290634

glass_box: glass_box_0056
Slice64: 0.008233701240507029
Slice128: 0.0036604019788943004
Voxel64: 0.007381488837734863
Voxel128: 0.001535040213715322

glass_box: glass_box_0107
Slice64: 0.0052299345403316365
Slice128: 0.002494201317764138
Voxel64: 0.028776668955268505
Voxel128: 5.509420721120347e-06

glass_box: glass_box_0126
Slice64: 0.00603246599052867
Slice128: 0.00318922004730841
Voxel64: 0.0032776689396503125
Voxel128: 0.0028079955328230042

glass_box: glass_box_0006
Slice64: 0.00502037196235699
Slice128: 0.0027685826350680775
Voxel64: 1.2884772731762411e-05
Voxel128: 1.2884772731762411e-05

glass_box: glass_box_0055
Slice64: 0.011415196195902049
Slice128: 0.009907640188364077
Voxel64: 0.008501380286659208
Voxel128: 0.007955650377685631

glass_box: glass_box_0146
Slice64: 0.009258699483378688
Slice128: 0.0024086633916477794
Voxel64: 0.009520091908149314
Voxel128: 0.007315273737844559

glass_box: glass_box_0143
Slice64: 0.007473734388774672
Slice128: 0.004665634680584442
Voxel64: 0.007493431197744649
Voxel128: 0.004051266726198836

glass_box: glass_box_0068
Slice64: 0.007248251222627372
Slice128: 0.002874436132913613
Voxel64: 3.847310804346793e-05
Voxel128: 3.847310804346793e-05

glass_box: glass_box_0163
Slice64: 0.0028641892185509383
Slice128: 0.0015961605179443319
Voxel64: 4.4083622339619715e-09
Voxel128: 4.4083622339619715e-09

glass_box: glass_box_0178
Slice64: 0.004638624431754592
Slice128: 0.002379567840038178
Voxel64: 1.0779569832742039e-05
Voxel128: 1.0779569832742039e-05

glass_box: glass_box_0185
Slice64: 0.00898515817870849
Slice128: 0.0042568923342350615
Voxel64: 0.00620695503721753
Voxel128: 0.0032321211546226616

glass_box: glass_box_0270
Slice64: 0.006117367792079107
Slice128: 0.005953920069186801
Voxel64: 0.010746432276189537
Voxel128: 0.003648989930074814

glass_box: glass_box_0184
Slice64: 0.00898515817870849
Slice128: 0.0042568923342350615
Voxel64: 0.00620695503721753
Voxel128: 0.0032321211546226616

